player,t20_batting_avg,t20_bowling_avg,t20_batting_sr,t20_bowling_sr,t20_bowling_econ,ipl_batting_avg,ipl_bowling_avg,ipl_batting_sr,ipl_bowling_sr,ipl_bowling_econ
Kumar Kushagra,0.0,0.0,0.0,0.0,0.0,1.0,-,42.86,-,-
Washington Sundar,13.79,23.5,121.39,20.31,6.94,14.0,35.81,116.31,28.49,7.54
Rahul Tewatia,0.0,0.0,0.0,0.0,0.0,25.32,34.72,134.71,26.34,7.91
Manav Suthar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,13.0
Nishant Sindhu,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Rashid Khan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Glenn Phillips,31.1,26.17,140.53,21.33,7.36,9.29,20.0,118.18,15.0,8.0
Jason Holder,17.9,27.61,137.14,19.15,8.65,12.33,27.57,123.33,18.77,8.81
Arshad Khan,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Ashok Sharma,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Kulwant Khejroliya,0.0,0.0,0.0,0.0,0.0,-,43.4,-,24.2,10.76
Gurnoor Brar,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,14.0
Mohammed Siraj,7.0,32.29,87.5,24.86,7.79,10.9,30.34,91.6,21.05,8.65
Prasidh Krishna,0.0,27.5,0.0,15.0,11.0,3.0,34.76,37.5,23.37,8.92
Sai Kishore,0.0,15.75,0.0,18.0,5.25,13.0,19.85,216.67,14.31,8.32
Ishant Sharma,8.0,50.0,88.89,34.75,8.63,9.5,34.48,82.61,25.1,8.24
Jayant Yadav,0.0,0.0,0.0,0.0,0.0,10.0,55.62,111.11,48.75,6.85
Prithvi Raj,,,,,,,,,,
Luke Wood,0.0,70.0,0.0,60.0,7.0,0,0.0,0,0.0,0
Kagiso Rabada,15.33,27.16,117.2,19.34,8.43,12.12,21.97,106.74,15.54,8.48
Riyan Parag,17.67,20.75,151.43,18.5,6.73,24.44,76.75,135.14,43.75,10.53
Aman Rao,,,,,,,,,,
Shubham Dubey,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Shimron Hetmyer,20.59,0.0,126.08,0.0,0.0,31.07,-,153.08,-,-
Yashasvi Jaiswal,36.15,0.0,164.32,0.0,11.0,32.14,0.0,150.61,0.0,0.0
Ravi Singh,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0
Vaibhav Sooryavanshi,0.0,0.0,0.0,0.0,0.0,36,0.0,206.56,0.0,0
Dhruv Jurel,4.0,0.0,52.18,0.0,0.0,23.13,-,151.53,-,-
Lhuan-dre Pretorius,14.27,0.0,122.66,0.0,0.0,0,0.0,0,0.0,0
Ravindra Jadeja,21.46,29.85,127.17,25.11,7.13,27.4,30.4,129.72,23.93,7.62
Sam Curran,17.31,27.44,131.58,19.35,8.51,25.23,32.76,136.48,20.36,9.65
Dasun Shanaka,20.54,22.87,123.71,16.74,8.2,13.0,-,100.0,-,-
Donovan Ferreira,18.71,0.0,177.03,0.0,9.82,4.0,-,72.73,-,-
Jofra Archer,11.71,23.34,132.26,17.55,7.98,15.31,24.4,155.47,19.69,7.43
Nandre Burger,7.66,21.26,56.09,17.1,7.18,-,20.71,-,14.57,8.53
Adam Milne,8.3,24.66,96.52,17.8,8.31,5.75,46.71,79.31,29.57,9.48
Kwena Maphaka,9.5,27.6,79.17,17.07,9.7,-,89.0,-,36.0,14.83
